symbol,timestamp,open,high,low,close,volume
ADA,2024-12-02 00:00:00+00:00,1.1497,1.3264,1.0567,1.1936,3198993676.4
ADA,2024-12-09 00:00:00+00:00,1.1936,1.1936,0.91,1.0996,2405941358.5
ADA,2024-12-16 00:00:00+00:00,1.0995,1.121,0.762,0.8834,2415809089.3
ADA,2024-12-23 00:00:00+00:00,0.8835,0.9507,0.8507,0.859,956974018.0
ADA,2024-12-30 00:00:00+00:00,0.859,1.1194,0.8296,1.0911,1371545149.7
ADA,2025-01-06 00:00:00+00:00,1.0911,1.1519,0.8798,0.9677,1707411848.8
ADA,2025-01-13 00:00:00+00:00,0.9676,1.1662,0.8758,0.993,2337447425.7
ADA,2025-01-20 00:00:00+00:00,0.993,1.1014,0.9508,0.953,1362437997.3
ADA,2025-01-27 00:00:00+00:00,0.953,0.9886,0.7513,0.8052,1147248344.9
ADA,2025-02-03 00:00:00+00:00,0.8051,0.8245,0.506,0.6814,2494053312.4
ADA,2025-02-10 00:00:00+00:00,0.6815,0.8309,0.6632,0.7714,1232736337.2
ADA,2025-02-17 00:00:00+00:00,0.7714,0.8291,0.7328,0.7697,922568415.0
ADA,2025-02-24 00:00:00+00:00,0.7698,1.1488,0.5801,1.135,2632477033.9
ADA,2025-03-03 00:00:00+00:00,1.1349,1.1747,0.709,0.7215,4951772526.0
ADA,2025-03-10 00:00:00+00:00,0.7216,0.7786,0.6471,0.7049,1909455025.0
ADA,2025-03-17 00:00:00+00:00,0.7049,0.7554,0.6816,0.7107,857245831.5
ADA,2025-03-24 00:00:00+00:00,0.7106,0.7744,0.6512,0.6612,920917259.5
ADA,2025-03-31 00:00:00+00:00,0.6613,0.7098,0.5597,0.5737,851715164.8
ADA,2025-04-07 00:00:00+00:00,0.5737,0.6687,0.511,0.6383,1518175209.6
ADA,2025-04-14 00:00:00+00:00,0.6383,0.6575,0.5946,0.6202,607056770.0
ADA,2025-04-21 00:00:00+00:00,0.6203,0.746,0.6153,0.7032,919935502.9000001
ADA,2025-04-28 00:00:00+00:00,0.7033,0.7297,0.6647,0.6762,815504312.9
ADA,2025-05-05 00:00:00+00:00,0.6762,0.8466,0.6426,0.8053,1058326951.2
ADA,2025-05-12 00:00:00+00:00,0.8054,0.8643,0.7171,0.7596,1093508042.3
ADA,2025-05-19 00:00:00+00:00,0.7597,0.8414,0.71,0.7598,886782425.7
ADA,2025-05-26 00:00:00+00:00,0.7598,0.7771,0.6541,0.6855,728540862.1
ADA,2025-06-02 00:00:00+00:00,0.6854,0.7072,0.6186,0.6703,590897508.8
ADA,2025-06-09 00:00:00+00:00,0.6703,0.7315,0.6131,0.6334,741465785.6
ADA,2025-06-16 00:00:00+00:00,0.6333,0.6575,0.51,0.5419,936565804.8
ADA,2025-06-23 00:00:00+00:00,0.5419,0.5936,0.5289,0.5773,815469739.7
ADA,2025-06-30 00:00:00+00:00,0.5773,0.6119,0.5366,0.5858,709266695.4
